step,gasUsed,txHash
capraise-exec-B1:msig-confirm,57582,0x3cc55f834372978f43d1305f6d994aed885760a68ba661c906050296ab471201
capraise-exec-B1:msig-execute(executeAction),106139,0x89529a83888d520283c4f8c55c0e755ad6a2f3badc26bc2b8be2df7529f234a7
capdecrease-A1:msig-execute,87754,0x8e8d8946e8eab3649d70931c77b38dd024619009b9e4ddc185cdd40ba5bdbb87
r2-pin-B2:msig-submit,222163,0x55f96dc7221d74e96bf912bd2165ac7d5fdb8f31bbcd6d93d270b6db78aef502
r2-pin-B2:msig-confirm,57582,0x491b863c0c5ded5d877874b0bdea5fe1845c55fdf0c5d116eb355d0254f525ed
r2-pin-B2:msig-execute(queue),194109,0x78071edcacfb331645afb875fe6bd136a9a956f8668ce41465d1c2490f286aff
r2-remotebridge-A2:msig-submit,244636,0xb8d018d71c56b34d5cc7b16717bb11b125e4d2a57a4cd70175d15e49e373d810
r2-remotebridge-A2:msig-confirm,57582,0xbaca00ee9ccad93d1100575489cd694079181bfb36a8d5c7d6c06835d5bc30fd
r2-remotebridge-A2:msig-execute(queue),218777,0x1c9921e3ea8ea169274ebaf3e735a7c0fa0fa1aeadc4d675e539eae58618b827
r2-remotebridge-B2:msig-submit,244624,0x305ca7e184e5d1876db8bec4e5cadcbad0cb2c0fb2ddaf461441ff6272853dba
r2-remotebridge-B2:msig-confirm,57582,0x15800f40ba6c81f51e5cda744b16c88c1a35295756222bafed556aa117fa57e7
r2-remotebridge-B2:msig-execute(queue),201677,0xcbaebe9311b3e913b612b21cfa41d58049644effb14b0341b14115041fdafc9e
r2-registerCanonical-A2:msig-submit,292660,0x1963acf8125f807361956db96e3d8d203f3eb2415e9ae8f3d87e6c9cf56b814c
r2-registerCanonical-A2:msig-confirm,57582,0x4b2c688c550e8a55b9d4a114b6710a611d1bcf7025350dc52ce046c730b0e5ec
r2-registerCanonical-A2:msig-execute(queue),255266,0x52b05b001c640d06e20b3a756cbf3f3e258ab69c33bcdea5f55ad26a8b300aa7
r2-registerWrapped-B2:msig-submit,312548,0x9677df4cbeeb7ba477c1f90ddd3063194cb1d43df2e7d692bcd900066176d9cf
r2-registerWrapped-B2:msig-confirm,57582,0x553cec59aa60a95f9c7b726c1bffe847a2349e6e387c8566e43b7d4ec0130ebc
r2-registerWrapped-B2:msig-execute(queue),275198,0x4f769dc746fd75d0129523efb73be4e00b86b97e09e8af22558e3e3c32a265db
r2-exec-pin-B2:msig-submit,153963,0x5d643921d1709db500bb5a8a8dcbc57f271d85c0d56e03fb8c4c5ba26a828368
r2-exec-pin-B2:msig-confirm,57582,0xb1e7d13fc453c787d0356b6d432dd91ae7b8ab8127934af66383d36f49c450f4
r2-exec-pin-B2:msig-execute(executeAction),110527,0x01e4727de6eb4004ad86e6e099b4f6408d62c4edaea2620cf57ed5a7f14b3535
r2-exec-remotebridge-B2:msig-submit,173875,0x821a6e1bc0e85bb099280e840ed9eb0b0a90613986e847662482f6181f17b393
r2-exec-remotebridge-B2:msig-confirm,57582,0x61f64812f5720d25512785f632311443df01d336d4fd21611123d7b3a6909dfc
r2-exec-remotebridge-B2:msig-execute(executeAction),114367,0x438a30f0873de683fa62e67900b1fdea98f7b6390cefebfb0c3302ae7cc6c374
r2-exec-registerWrapped-B2:msig-submit,173875,0x36a382c9e9d8970f4c0153049d66def0351106785f8861342bfb0d2f805115f7
r2-exec-registerWrapped-B2:msig-confirm,57582,0x57291e2ae103e9405eab4cfde40df6b17f11b4bfb50ef5b886a87cd88753ec27
r2-exec-registerWrapped-B2:msig-execute(executeAction),244953,0x92ac3cc7b3ff509f922b2899f89d598e46b9e468354068c0c784263ab66b520a
r2-exec-remotebridge-A2:msig-submit,153963,0xa8878e589fdb8c7ed1334952fc4ddc1f4cd751746665bd2dbbf832e085e7046c
r2-exec-remotebridge-A2:msig-confirm,57582,0xbcd8de872e53626564b28c0b241896d0a62c020dee38155c53c98fcd4798b9c9
r2-exec-remotebridge-A2:msig-execute(executeAction),114367,0x3e250eccdffa527ad691736b2a6c03175f32d6fc5aa9a1b17b2fc14527b920a7
r2-exec-registerCanonical-A2:msig-submit,173875,0x1a99fa2f2b22abd29636205e435f1d30af06fbb6c0b6ff3b1ba252453c8bc910
r2-exec-registerCanonical-A2:msig-confirm,57582,0x89def9284936ff57d316c1d42838234814fb7417a4d2542620de18ff4f5b561f
r2-exec-registerCanonical-A2:msig-execute(executeAction),215995,0x866be76e471d38ab93636460de320929abbc365a9aa69dcfacd6df78d507de4a
r2-send-3FMX-A2,114641,0xd67033b8d70a7251b2b244a2677783fd159425a88a41c36d3d7c7837fa709bc0
r2-execute-mint-B2(submitter),163818,0x06b5c9e56eccf9d616570fb8778b22eb81922bad84a4a898fb99fb285c4d04c8
r2-send-back-B2(burn),135598,0x6772bcca49e13ef85597d96257d42d3840052e7d7993300182407b0aed824eab
strand-registerCanonical-B2:msig-submit,312764,0x5e33c9bc21476a483efa4d4b41804563ee7c63bd84246f9bf1fc827c5890d720
strand-registerCanonical-B2:msig-confirm,57582,0x01fc28e5ef3f8946ad338ef73622f6d149e0837fcdf1df3c6e0344380a96d99f
strand-registerCanonical-B2:msig-execute(queue),275166,0x8eeb80021eba0ee364617799172dab41a32c3e867617f79a0eabe669f5d4e1ab
strand-registerWrapped-A2:msig-submit,312776,0x797dae9e3faeb489fa2f59892e9a98ece9d706487195f5dc12ec845cda213104
strand-registerWrapped-A2:msig-confirm,57582,0xf3fa3359f3dc89d4c429746e9b5b0d10922c6ecadb4993ad96f78af9e3c6830f
strand-registerWrapped-A2:msig-execute(queue),275198,0x1cd8f51cb9ab228df5ba3bbf93bf54387fc93425b60c6823ce02c67a6164ee93
strand-exec-canon-B2:msig-submit,173875,0xca6295e14dfc3e1b61d6c0f3f0c66dae663f53a460bec319f84d8723339463c6
strand-exec-canon-B2:msig-confirm,57582,0x8f6844ba24d8d8729cbc4bf84ea8635a86943860a7b85b71ce44ef8eda65bbbe
